symbol,name
DWARKESH,DWARIKESH SUGAR IND LTD
PDMJEPAPER,PUDUMJEE PAPER PRO. LTD
PAKKA,PAKKA LTD
SATIA,SATIA INDUSTRIES LTD
INDORAMA,INDO RAMA SYNTHETICS LTD
DHARMAJ,DHARMAJ CROP GUARD LTD
VALIANTORG,VALIANT ORGANICS LTD
NACLIND,NACL INDUSTRIES LTD
GANESHBE,GANESH BENZOPLAST LTD
MAGADSUGAR,MAGADH SUGAR & ENERGY LTD
ZUARIIND,ZUARI INDUSTRIES LTD
FAZE3Q,FAZE THREE LTD
GHCLTEXTIL,GHCL TEXTILES LTD
SUTLEJTEX,SUTLEJ TEXT & INDUS LTD
SARVESHWAR,SARVESHWAR FOODS LTD
BODALCHEM,BODAL CHEMICALS LTD
NAHARSPING,NAHAR SPINNING MILLS LTD.
SHALPAINTS,SHALIM PAINTS LTD
TIRUPATI,SHREE TIRUPATI BALAJEE
20MICRONS,20 MICRONS LTD
RSWM,RSWM LTD
AMBIKCO,AMBIKA COTTON MILL LTD.
CHEMCON,CHEMCON SPECIAL CHEM LTD
SHIVALIK,SHIVALIK RASAYAN LTD
ORIENTPPR,ORIENT PAPER AND INDS LTD
UGARSUGAR,THE UGAR SUGAR WORKS LTD
VISAKAIND,VISAKA INDUSTRIES LTD
DBOL,DHAMPUR BIO ORGANICS LTD
BHAGERIA,BHAGERIA INDUSTRIES LTD
JAYAGROGN,JAYANT AGRO ORGANICS LTD
NDL,NANDAN DENIM LTD
ZUARI,ZUARI AGRO CHEMICALS LTD
RUBYMILLS,THE RUBY MILLS LTD
SHREEPUSHK,SHRE PUSH CHEM & FERT LTD
FILATFASH,FILATEX FASHIONS LTD
GLOSTERLTD,GLOSTER LTD
TPLPLASTEH,TPL PLASTECH LTD
SARLAPOLY,SARLA PERF. FIBERS LTD
TNPETRO,TAMILNADU PETROPRODUCTS L
CHEMBOND,CHEMBOND CHEMICALS LTD
CHEVIOT,CHEVIOT COMPANY LTD
KNAGRI,KN AGRI RESOURCES LTD
DMCC,DMCC SPECIALITY CHEMICALS
KRITINUT,KRITI NUTRIENTS LTD
KHAICHEM,KHAITAN CHEM & FERT LTD
DICIND,DIC INDIA LTD
